2483-tacl	Planning, Inference, and Pragmatics in Sequential Language Games	Fereshte Khani, Noah D. Goodman, Percy Liang
2485-tacl	Grammar Error Correction in Morphologically-Rich Languages: The Case of Russian	Alla Rozovskaya and Dan Roth
2482-tacl	Data Statements for Natural Language Processing: Toward Mitigating System Bias and Enabling Better Science	Emily M. Bender and Batya Friedman
2481-tacl	Attentive Convolution: Equipping CNNs with RNN-style Attention Mechanisms	Wenpeng Yin, Hinrich Schütze
2479-tacl	Mind the GAP: A Balanced Corpus of Gendered Ambiguous Pronouns	Kellie Webster, Marta Recasens, Vera Axelrod, Jason Baldridge
2486-tacl	Rotational Unit of Memory: A Novel Representation Unit for RNNs with Scalable Applications	Rumen Dangovski, Li Jing, Preslav Nakov, Mićo Tatalović, Marin Soljačić
2478-tacl	Analysis Methods in Neural Language Processing: A Survey	Yonatan Belinkov, James Glass
2487-tacl	Complex Program Induction for Querying Knowledge Bases in the Absence of Gold Programs	Amrita Saha, Ghulam Ahmed Ansari, Abhishek Laddha, Karthik Sankaranarayanan, Soumen Chakrabarti
2484-tacl	DREAM: A Challenge Dataset and Models for Dialogue-Based Reading Comprehension	Kai Sun, Dian Yu, Jianshu Chen, Dong Yu, Yejin Choi, Claire Cardie
2480-tacl	CoQA: A Conversational Question Answering Challenge	Siva Reddy, Danqi Chen, Christopher D. Manning
